train/actor_loss,time/time_elapsed,train/critic_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,time/episodes
-42.04945755004883,1077,0.39073243737220764,-1.209549069404602,53142,0.0003,49,92.94341299000001,53243,117.36,0.09621201455593109,220
-42.340797424316406,1092,0.43063539266586304,0.20140084624290466,53876,0.0003,49,92.74032736000001,53977,121.43,0.08886701613664627,224
-44.80275344848633,1101,0.45330101251602173,-0.27334731817245483,54279,0.0003,49,92.72847874000001,54380,122.27,0.08445566892623901,228
-44.38312530517578,1109,0.9283195734024048,-0.49719956517219543,54671,0.0003,49,92.79211968000001,54772,121.11,0.08196191489696503,232
-44.78864288330078,1119,0.3884384036064148,-0.8672736883163452,55137,0.0003,49,92.84763285000001,55238,120.9,0.07739289104938507,236
-44.87110900878906,1134,0.7062791585922241,0.6300607919692993,55851,0.0003,49,92.71909246999998,55952,125.04,0.07636547088623047,240
-46.65855026245117,1140,0.30127182602882385,0.24984495341777802,56137,0.0003,49,92.82122195000002,56238,121.25,0.07634927332401276,244
-46.71389389038086,1147,0.40929388999938965,0.26343435049057007,56438,0.0003,49,92.91764729,56539,118.49,0.07717108726501465,248
-46.909584045410156,1155,0.27589428424835205,0.8771300315856934,56857,0.0003,49,92.92272698000001,56958,119.09,0.0805017426609993,252
-46.02427673339844,1162,0.20128262042999268,0.14513102173805237,57140,0.0003,49,92.92200406,57241,117.5,0.08382390439510345,256
-45.133872985839844,1169,0.23454582691192627,0.38511162996292114,57459,0.0003,49,93.08996198999999,57560,114.22,0.08815360814332962,260
-50.467384338378906,1175,0.6460845470428467,0.8222041726112366,57756,0.0003,49,93.12275943,57857,113.21,0.09232555329799652,264
-47.37014389038086,1181,0.19134193658828735,-0.1561562865972519,58036,0.0003,49,93.14203825999999,58137,112.11,0.09293735027313232,268
-53.782066345214844,1188,0.22901950776576996,0.6463842988014221,58339,0.0003,49,93.14713771999999,58440,112.05,0.09429048001766205,272
-47.11264419555664,1194,0.19963091611862183,-0.9386634826660156,58634,0.0003,49,93.18305066999997,58735,110.91,0.0931672528386116,276
-48.08737564086914,1200,0.182024747133255,-0.6880074739456177,58923,0.0003,49,93.21377924000001,59024,108.92,0.09406080096960068,280
-48.5319709777832,1207,0.26207226514816284,0.11607427895069122,59227,0.0003,49,93.32308636999998,59328,106.57,0.09417769312858582,284
-43.65221405029297,1213,0.4366084635257721,0.1967632919549942,59523,0.0003,49,93.54166689999998,59624,101.19,0.0949014276266098,288
-51.221824645996094,1222,0.18007749319076538,-0.7039693593978882,59928,0.0003,49,93.74604413000002,60029,99.42,0.09382844716310501,292
-50.476715087890625,1229,0.21050924062728882,-0.6499574184417725,60214,0.0003,49,93.81563885999999,60315,97.6,0.09264854341745377,296
-48.038265228271484,1238,0.15817642211914062,-0.5909307599067688,60668,0.0003,49,93.83769294000001,60769,97.55,0.08858118951320648,300
-45.6646842956543,1245,0.2262449562549591,-0.6455304622650146,60971,0.0003,49,93.93161979000003,61072,95.79,0.08582703769207001,304
-47.89865493774414,1252,0.2780608534812927,0.3616076111793518,61333,0.0003,49,93.98539772000002,61434,94.95,0.08530749380588531,308
-50.8447265625,1267,0.9849718809127808,-0.40607476234436035,62023,0.0003,49,93.94727546999998,62124,97.51,0.08294638246297836,312
-50.675262451171875,1279,0.18420082330703735,-0.12161284685134888,62540,0.0003,48,93.94661681999997,62641,98.26,0.08048616349697113,316
-48.634883880615234,1286,0.2064138948917389,-0.857576847076416,62849,0.0003,48,94.00703449000001,62950,97.07,0.07916365563869476,320
-50.61103820800781,1296,0.22101925313472748,-0.6866127848625183,63310,0.0003,48,94.18130064,63411,94.34,0.07745595276355743,324
-50.548431396484375,1307,0.15636907517910004,0.15217183530330658,63829,0.0003,48,94.15069232000002,63930,95.5,0.07259970903396606,328
-48.48909378051758,1313,0.1980227530002594,0.10254638642072678,64113,0.0003,48,94.18970517999998,64214,94.42,0.07186975330114365,332
-52.159584045410156,1342,0.16122308373451233,0.4520615339279175,65413,0.0003,48,92.43505099999999,65514,102.76,0.06810613721609116,336
-53.411441802978516,1363,0.14769583940505981,-0.6507384181022644,66374,0.0003,48,92.33210333999999,66475,105.23,0.06514202058315277,340
-52.036460876464844,1369,0.12968099117279053,0.025359779596328735,66654,0.0003,48,92.32114403,66755,105.17,0.06630237400531769,344
-47.8096923828125,1376,0.17129464447498322,0.20443879067897797,66970,0.0003,48,92.33692769,67071,105.32,0.06671793013811111,348
-53.06145095825195,1383,0.12860125303268433,-0.263150155544281,67262,0.0003,48,92.35365232,67363,104.05,0.06848043203353882,352
-51.08205795288086,1389,0.16553759574890137,0.0008254796266555786,67547,0.0003,48,92.36028624000001,67648,104.07,0.06869026273488998,356
