rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,time/episodes,time/fps,time/total_timesteps
103.41,93.58632139000001,995,46599,0.08207134157419205,-0.31219300627708435,0.0003,-54.8348274230957,0.2758997082710266,288,46,46700
103.33,93.58847054,1001,46898,0.0816652849316597,0.4516856372356415,0.0003,-55.30589294433594,0.19014626741409302,292,46,46999
107.37,93.41324168000001,1016,47614,0.08001624792814255,-0.012445956468582153,0.0003,-57.77214813232422,0.5331429243087769,296,46,47715
107.8,93.40573924000005,1025,48021,0.0812995582818985,0.19024169445037842,0.0003,-55.58992004394531,0.26963838934898376,300,46,48122
108.12,93.41648659,1036,48463,0.07873357832431793,-0.0764329731464386,0.0003,-54.026588439941406,0.12328553199768066,304,46,48564
107.88,93.42495,1044,48844,0.07893048971891403,-0.49336692690849304,0.0003,-54.310367584228516,0.22914059460163116,308,46,48945
107.03,93.44014696999999,1050,49133,0.0774233266711235,0.9098117351531982,0.0003,-54.57737731933594,0.46076804399490356,312,46,49234
110.19,93.36067304999999,1063,49735,0.07506665587425232,0.4087356925010681,0.0003,-54.489341735839844,0.12501837313175201,316,46,49836
109.29,93.33855431999999,1070,50025,0.07530953735113144,0.4940435290336609,0.0003,-58.697452545166016,0.1382901966571808,320,46,50126
109.15,93.32471476999999,1076,50316,0.07546934485435486,0.7815428972244263,0.0003,-54.82357406616211,0.13733702898025513,324,46,50417
108.58,93.32196812000001,1083,50609,0.0752701684832573,0.08221331238746643,0.0003,-58.39273452758789,0.13564243912696838,328,46,50710
104.75,93.46721011000001,1089,50913,0.07445176690816879,0.5900906324386597,0.0003,-55.86504364013672,0.07349321246147156,332,46,51014
104.7,93.46492185,1105,51612,0.0744512677192688,0.45401743054389954,0.0003,-54.36076354980469,1.9125378131866455,336,46,51713
104.31,93.44662510000002,1112,51921,0.07402723282575607,-0.33380985260009766,0.0003,-53.7013053894043,0.190800741314888,340,46,52022
97.46,93.85687988000001,1119,52228,0.07518722116947174,-0.6351103782653809,0.0003,-55.86278533935547,0.1418961137533188,344,46,52329
96.45,93.88625808,1125,52520,0.07528050988912582,-0.7714642882347107,0.0003,-51.128536224365234,0.2225688099861145,348,46,52621
98.16,93.86446339999999,1137,53063,0.07701869308948517,0.6862672567367554,0.0003,-56.143516540527344,0.10586179047822952,352,46,53164
97.54,93.90082741,1144,53371,0.07672122120857239,0.1391390562057495,0.0003,-56.38623809814453,0.10472200810909271,356,46,53472
98.4,93.88537320999998,1152,53744,0.07584171742200851,0.05872558802366257,0.0003,-59.04625701904297,0.17900234460830688,360,46,53845
95.04,94.04032495999999,1160,54066,0.07478701323270798,0.2624989151954651,0.0003,-59.04381561279297,0.09711852669715881,364,46,54167
100.7,93.72454367999998,1179,54922,0.07610902190208435,-0.11228302121162415,0.0003,-58.795326232910156,0.0762837678194046,368,46,55023
100.58,93.74283276999999,1186,55215,0.07489264756441116,0.07091173529624939,0.0003,-59.92486572265625,0.13155463337898254,372,46,55316
100.6,93.75254567,1192,55506,0.0746806412935257,0.6437939405441284,0.0003,-55.89822006225586,0.2455383837223053,376,46,55607
103.7,93.65720812,1206,56135,0.07423743605613708,0.7139917016029358,0.0003,-64.79103088378906,0.14748749136924744,380,46,56236
103.68,93.65249555,1214,56435,0.07431696355342865,0.4597611427307129,0.0003,-60.0837287902832,0.2457413375377655,384,46,56536
101.34,93.72294270999998,1222,56733,0.073273666203022,0.9608330130577087,0.0003,-59.90410614013672,3.92647647857666,388,46,56834
101.44,93.72042561999999,1231,57042,0.07398954033851624,-0.24673371016979218,0.0003,-55.584320068359375,0.10337512940168381,392,46,57143
97.23,93.89738516,1237,57337,0.07266557961702347,-0.30339908599853516,0.0003,-56.10240936279297,0.19911396503448486,396,46,57438
96.85,93.90089403,1245,57706,0.07227971404790878,0.07689745724201202,0.0003,-59.23771667480469,0.05851229280233383,400,46,57807
96.35,93.93672920999998,1254,58098,0.07296919077634811,-1.2028602361679077,0.0003,-61.09925079345703,0.11034630239009857,404,46,58199
